Bandit,Reward,Algorithm
636,1,ThompsonSampling
637,1,ThompsonSampling
638,1,ThompsonSampling
639,1,ThompsonSampling
640,1,ThompsonSampling
641,1,ThompsonSampling
642,1,ThompsonSampling
643,1,ThompsonSampling
644,1,ThompsonSampling
645,1,ThompsonSampling
646,1,ThompsonSampling
647,1,ThompsonSampling
648,1,ThompsonSampling
649,1,ThompsonSampling
650,1,ThompsonSampling
651,1,ThompsonSampling
652,1,ThompsonSampling
653,1,ThompsonSampling
654,1,ThompsonSampling
655,1,ThompsonSampling
656,1,ThompsonSampling
657,1,ThompsonSampling
658,1,ThompsonSampling
659,1,ThompsonSampling
660,1,ThompsonSampling
661,1,ThompsonSampling
662,1,ThompsonSampling
663,1,ThompsonSampling
664,1,ThompsonSampling
665,1,ThompsonSampling
666,1,ThompsonSampling
667,1,ThompsonSampling
668,1,ThompsonSampling
669,1,ThompsonSampling
670,1,ThompsonSampling
671,1,ThompsonSampling
672,1,ThompsonSampling
673,1,ThompsonSampling
674,1,ThompsonSampling
675,1,ThompsonSampling
676,1,ThompsonSampling
677,1,ThompsonSampling
678,1,ThompsonSampling
679,1,ThompsonSampling
680,1,ThompsonSampling
681,1,ThompsonSampling
682,1,ThompsonSampling
683,1,ThompsonSampling
684,1,ThompsonSampling
685,1,ThompsonSampling
686,1,ThompsonSampling
687,1,ThompsonSampling
688,1,ThompsonSampling
689,1,ThompsonSampling
690,1,ThompsonSampling
691,1,ThompsonSampling
692,1,ThompsonSampling
693,1,ThompsonSampling
694,1,ThompsonSampling
695,1,ThompsonSampling
696,1,ThompsonSampling
697,1,ThompsonSampling
698,1,ThompsonSampling
699,1,ThompsonSampling
700,1,ThompsonSampling
701,1,ThompsonSampling
702,1,ThompsonSampling
703,1,ThompsonSampling
704,1,ThompsonSampling
705,1,ThompsonSampling
706,1,ThompsonSampling
707,1,ThompsonSampling
708,1,ThompsonSampling
709,1,ThompsonSampling
710,1,ThompsonSampling
711,1,ThompsonSampling
712,1,ThompsonSampling
713,1,ThompsonSampling
714,1,ThompsonSampling
715,1,ThompsonSampling
716,1,ThompsonSampling
717,1,ThompsonSampling
718,1,ThompsonSampling
719,1,ThompsonSampling
720,1,ThompsonSampling
721,1,ThompsonSampling
722,1,ThompsonSampling
723,1,ThompsonSampling
724,1,ThompsonSampling
725,1,ThompsonSampling
726,1,ThompsonSampling
727,1,ThompsonSampling
728,1,ThompsonSampling
729,1,ThompsonSampling
730,1,ThompsonSampling
731,1,ThompsonSampling
732,1,ThompsonSampling
733,1,ThompsonSampling
734,1,ThompsonSampling
735,1,ThompsonSampling
736,1,ThompsonSampling
737,1,ThompsonSampling
738,1,ThompsonSampling
739,1,ThompsonSampling
740,1,ThompsonSampling
741,1,ThompsonSampling
742,1,ThompsonSampling
743,1,ThompsonSampling
744,1,ThompsonSampling
745,1,ThompsonSampling
746,1,ThompsonSampling
747,1,ThompsonSampling
748,1,ThompsonSampling
749,1,ThompsonSampling
750,1,ThompsonSampling
751,1,ThompsonSampling
752,1,ThompsonSampling
753,1,ThompsonSampling
754,1,ThompsonSampling
755,1,ThompsonSampling
756,1,ThompsonSampling
757,1,ThompsonSampling
758,1,ThompsonSampling
759,1,ThompsonSampling
760,1,ThompsonSampling
761,1,ThompsonSampling
762,1,ThompsonSampling
763,1,ThompsonSampling
764,1,ThompsonSampling
765,1,ThompsonSampling
766,1,ThompsonSampling
767,1,ThompsonSampling
768,1,ThompsonSampling
769,1,ThompsonSampling
770,1,ThompsonSampling
771,1,ThompsonSampling
772,1,ThompsonSampling
773,1,ThompsonSampling
774,1,ThompsonSampling
775,1,ThompsonSampling
776,1,ThompsonSampling
777,1,ThompsonSampling
778,1,ThompsonSampling
779,1,ThompsonSampling
780,1,ThompsonSampling
781,1,ThompsonSampling
782,1,ThompsonSampling
783,1,ThompsonSampling
784,1,ThompsonSampling
785,1,ThompsonSampling
786,1,ThompsonSampling
787,1,ThompsonSampling
788,1,ThompsonSampling
789,1,ThompsonSampling
